prefecture,initiatorType,URI,metricType,metricValue
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/0.f0e36989.css,redirectTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/0.f0e36989.css,domainLookupTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/0.f0e36989.css,connectingTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/0.f0e36989.css,responseTime,3
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/0.f0e36989.css,duration,175
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/4.3d2ec621.css,redirectTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/4.3d2ec621.css,domainLookupTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/4.3d2ec621.css,connectingTime,0
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/4.3d2ec621.css,responseTime,4
北海道,link,https://tourist-information.pages.dev/_app/immutable/assets/4.3d2ec621.css,duration,259
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/start.0e63af01.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/start.0e63af01.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/start.0e63af01.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/start.0e63af01.js,responseTime,8
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/start.0e63af01.js,duration,272
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/scheduler.63274e7e.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/scheduler.63274e7e.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/scheduler.63274e7e.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/scheduler.63274e7e.js,responseTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/scheduler.63274e7e.js,duration,274
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/singletons.c45172fe.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/singletons.c45172fe.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/singletons.c45172fe.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/singletons.c45172fe.js,responseTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/singletons.c45172fe.js,duration,276
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/control.f5b05b5f.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/control.f5b05b5f.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/control.f5b05b5f.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/control.f5b05b5f.js,responseTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/control.f5b05b5f.js,duration,146
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/app.9b9e93d9.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/app.9b9e93d9.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/app.9b9e93d9.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/app.9b9e93d9.js,responseTime,24
北海道,other,https://tourist-information.pages.dev/_app/immutable/entry/app.9b9e93d9.js,duration,301
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/preload-helper.a4192956.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/preload-helper.a4192956.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/preload-helper.a4192956.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/preload-helper.a4192956.js,responseTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/preload-helper.a4192956.js,duration,349
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/index.94fa96c7.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/index.94fa96c7.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/index.94fa96c7.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/index.94fa96c7.js,responseTime,2
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/index.94fa96c7.js,duration,156
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/0.0f778553.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/0.0f778553.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/0.0f778553.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/0.0f778553.js,responseTime,1
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/0.0f778553.js,duration,175
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/stores.2846bba9.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/stores.2846bba9.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/stores.2846bba9.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/stores.2846bba9.js,responseTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/chunks/stores.2846bba9.js,duration,350
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/4.1a7d7d49.js,redirectTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/4.1a7d7d49.js,domainLookupTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/4.1a7d7d49.js,connectingTime,0
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/4.1a7d7d49.js,responseTime,6
北海道,other,https://tourist-information.pages.dev/_app/immutable/nodes/4.1a7d7d49.js,duration,358
北海道,other,https://tourist-information.pages.dev/favicon.png,redirectTime,0
